sample_id,genome_file,resistance_status,genes_detected
GCF_030758875.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_030758875.1/GCF_030758875.1_ASM3075887v1_genomic.fna,SUSCEPTIBLE,
GCF_017329505.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_017329505.1/GCF_017329505.1_ASM1732950v1_genomic.fna,SUSCEPTIBLE,
GCF_009912535.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_009912535.1/GCF_009912535.1_ASM991253v1_genomic.fna,SUSCEPTIBLE,
GCF_055688085.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_055688085.1/GCF_055688085.1_ASM5568808v1_genomic.fna,SUSCEPTIBLE,
GCF_030345215.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_030345215.1/GCF_030345215.1_ASM3034521v1_genomic.fna,RESISTANT,mecA
GCF_040931815.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_040931815.1/GCF_040931815.1_ASM4093181v1_genomic.fna,RESISTANT,mecA
GCF_036689715.2,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_036689715.2/GCF_036689715.2_BSN57_Closure_genomic.fna,RESISTANT,mecA
GCF_038428225.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_038428225.1/GCF_038428225.1_ASM3842822v1_genomic.fna,RESISTANT,mecA
GCF_031826655.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_031826655.1/GCF_031826655.1_ASM3182665v1_genomic.fna,RESISTANT,mecA
GCF_005707335.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_005707335.1/GCF_005707335.1_ASM570733v1_genomic.fna,RESISTANT,mecA
GCF_041697955.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_041697955.1/GCF_041697955.1_CUBIST-6_genomic.fna,RESISTANT,mecA
GCF_045009745.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_045009745.1/GCF_045009745.1_ASM4500974v1_genomic.fna,RESISTANT,mecA
GCF_020388335.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_020388335.1/GCF_020388335.1_ASM2038833v1_genomic.fna,SUSCEPTIBLE,
GCF_009912435.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_009912435.1/GCF_009912435.1_ASM991243v1_genomic.fna,SUSCEPTIBLE,
GCF_050881955.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_050881955.1/GCF_050881955.1_ASM5088195v1_genomic.fna,SUSCEPTIBLE,
GCF_034042835.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_034042835.1/GCF_034042835.1_ASM3404283v1_genomic.fna,SUSCEPTIBLE,
GCF_057076915.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_057076915.1/GCF_057076915.1_ASM5707691v1_genomic.fna,RESISTANT,mecA
GCF_009912955.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_009912955.1/GCF_009912955.1_ASM991295v1_genomic.fna,SUSCEPTIBLE,
GCF_037952035.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_037952035.1/GCF_037952035.1_BSN203_genomic.fna,RESISTANT,mecA
GCF_029961945.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_029961945.1/GCF_029961945.1_ASM2996194v1_genomic.fna,SUSCEPTIBLE,
GCF_009728775.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_009728775.1/GCF_009728775.1_ASM972877v1_genomic.fna,SUSCEPTIBLE,
GCF_057652835.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_057652835.1/GCF_057652835.1_ASM5765283v1_genomic.fna,SUSCEPTIBLE,
GCF_004772055.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_004772055.1/GCF_004772055.1_ASM477205v1_genomic.fna,SUSCEPTIBLE,
GCF_037076495.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_037076495.1/GCF_037076495.1_ASM3707649v1_genomic.fna,RESISTANT,mecA
GCF_054906445.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_054906445.1/GCF_054906445.1_ASM5490644v1_genomic.fna,RESISTANT,mecA
GCF_009176875.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_009176875.1/GCF_009176875.1_ASM917687v1_genomic.fna,RESISTANT,mecA
GCF_050881675.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_050881675.1/GCF_050881675.1_ASM5088167v1_genomic.fna,SUSCEPTIBLE,
GCF_024296825.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_024296825.1/GCF_024296825.1_ASM2429682v1_genomic.fna,SUSCEPTIBLE,
GCF_057076465.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_057076465.1/GCF_057076465.1_ASM5707646v1_genomic.fna,SUSCEPTIBLE,
GCF_047948185.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_047948185.1/GCF_047948185.1_ASM4794818v1_genomic.fna,RESISTANT,mecA
GCF_025558945.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_025558945.1/GCF_025558945.1_ASM2555894v1_genomic.fna,SUSCEPTIBLE,
GCF_015244035.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_015244035.1/GCF_015244035.1_ASM1524403v1_genomic.fna,SUSCEPTIBLE,
GCF_002097595.2,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_002097595.2/GCF_002097595.2_ASM209759v2_genomic.fna,RESISTANT,mecA
GCF_020389425.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_020389425.1/GCF_020389425.1_ASM2038942v1_genomic.fna,SUSCEPTIBLE,
GCF_964290405.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_964290405.1/GCF_964290405.1_23S01952-1_genomic.fna,RESISTANT,mecA
GCF_034040575.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_034040575.1/GCF_034040575.1_ASM3404057v1_genomic.fna,SUSCEPTIBLE,
GCF_003203615.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_003203615.1/GCF_003203615.1_ASM320361v1_genomic.fna,RESISTANT,mecA
GCF_045788545.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_045788545.1/GCF_045788545.1_ASM4578854v1_genomic.fna,RESISTANT,mecA
GCF_050881635.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_050881635.1/GCF_050881635.1_ASM5088163v1_genomic.fna,RESISTANT,mecA
GCF_009739675.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_009739675.1/GCF_009739675.1_ASM973967v1_genomic.fna,RESISTANT,mecA
GCF_019915425.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_019915425.1/GCF_019915425.1_ASM1991542v1_genomic.fna,SUSCEPTIBLE,
GCF_040361185.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_040361185.1/GCF_040361185.1_ASM4036118v1_genomic.fna,SUSCEPTIBLE,
GCF_057076595.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_057076595.1/GCF_057076595.1_ASM5707659v1_genomic.fna,SUSCEPTIBLE,
GCF_033802645.2,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_033802645.2/GCF_033802645.2_ASM3380264v2_genomic.fna,RESISTANT,mecA
GCF_017328885.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_017328885.1/GCF_017328885.1_ASM1732888v1_genomic.fna,SUSCEPTIBLE,
GCF_030252775.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_030252775.1/GCF_030252775.1_ASM3025277v1_genomic.fna,SUSCEPTIBLE,
GCF_964057135.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_964057135.1/GCF_964057135.1_E1_22S00622-1_genomic.fna,RESISTANT,mecA
GCF_022404675.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_022404675.1/GCF_022404675.1_ASM2240467v1_genomic.fna,SUSCEPTIBLE,
GCF_048628735.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_048628735.1/GCF_048628735.1_ASM4862873v1_genomic.fna,RESISTANT,mecA
GCF_009739845.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_009739845.1/GCF_009739845.1_ASM973984v1_genomic.fna,RESISTANT,mecA
GCF_053102055.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_053102055.1/GCF_053102055.1_ASM5310205v1_genomic.fna,SUSCEPTIBLE,
GCF_900323965.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_900323965.1/GCF_900323965.1_1549-SCV_genomic.fna,SUSCEPTIBLE,
GCF_020388785.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_020388785.1/GCF_020388785.1_ASM2038878v1_genomic.fna,SUSCEPTIBLE,
GCF_058182285.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_058182285.1/GCF_058182285.1_LaCa_35_v1_genomic.fna,SUSCEPTIBLE,
GCF_053878175.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_053878175.1/GCF_053878175.1_ASM5387817v1_genomic.fna,RESISTANT,mecA
GCF_040361795.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_040361795.1/GCF_040361795.1_ASM4036179v1_genomic.fna,RESISTANT,mecA
GCF_004118995.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_004118995.1/GCF_004118995.1_ASM411899v1_genomic.fna,RESISTANT,mecA
GCF_015767495.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_015767495.1/GCF_015767495.1_ASM1576749v1_genomic.fna,RESISTANT,mecA
GCF_040366375.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_040366375.1/GCF_040366375.1_ASM4036637v1_genomic.fna,SUSCEPTIBLE,
GCF_038024725.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_038024725.1/GCF_038024725.1_WGS_using_MinION_R10.4.1_of_Staphylococcus_aureus_TUM22741_genomic.fna,RESISTANT,mecA
GCF_034016595.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_034016595.1/GCF_034016595.1_ASM3401659v1_genomic.fna,SUSCEPTIBLE,
GCF_050502415.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_050502415.1/GCF_050502415.1_A11_14F4_43300_genomic.fna,SUSCEPTIBLE,
GCF_039634735.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_039634735.1/GCF_039634735.1_ASM3963473v1_genomic.fna,SUSCEPTIBLE,
GCF_029634735.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_029634735.1/GCF_029634735.1_ASM2963473v1_genomic.fna,SUSCEPTIBLE,
GCF_045346645.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_045346645.1/GCF_045346645.1_WGS_using_MinION_R10.4.1_of_Staphylococcus_aureus_TUM20913_genomic.fna,RESISTANT,mecA
GCF_026625545.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_026625545.1/GCF_026625545.1_ASM2662554v1_genomic.fna,RESISTANT,mecA
GCF_022405575.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_022405575.1/GCF_022405575.1_ASM2240557v1_genomic.fna,SUSCEPTIBLE,
GCF_020702135.2,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_020702135.2/GCF_020702135.2_ASM2070213v2_genomic.fna,SUSCEPTIBLE,
GCF_002850395.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_002850395.1/GCF_002850395.1_ASM285039v1_genomic.fna,SUSCEPTIBLE,
GCF_030931375.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_030931375.1/GCF_030931375.1_ASM3093137v1_genomic.fna,SUSCEPTIBLE,
GCF_050780005.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_050780005.1/GCF_050780005.1_ASM5078000v1_genomic.fna,RESISTANT,mecA
GCF_030015595.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_030015595.1/GCF_030015595.1_ASM3001559v1_genomic.fna,RESISTANT,mecA
GCF_018502165.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_018502165.1/GCF_018502165.1_ASM1850216v1_genomic.fna,SUSCEPTIBLE,
GCF_008330045.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_008330045.1/GCF_008330045.1_ASM833004v1_genomic.fna,RESISTANT,mecA
GCF_013187685.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_013187685.1/GCF_013187685.1_ASM1318768v1_genomic.fna,SUSCEPTIBLE,
GCF_049558145.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_049558145.1/GCF_049558145.1_ASM4955814v1_genomic.fna,SUSCEPTIBLE,
GCF_051225585.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_051225585.1/GCF_051225585.1_ASM5122558v1_genomic.fna,RESISTANT,mecA
GCF_003194105.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_003194105.1/GCF_003194105.1_ASM319410v1_genomic.fna,RESISTANT,mecA
GCF_019334585.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_019334585.1/GCF_019334585.1_ASM1933458v1_genomic.fna,SUSCEPTIBLE,
GCF_039636445.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_039636445.1/GCF_039636445.1_ASM3963644v1_genomic.fna,SUSCEPTIBLE,
GCF_036670075.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_036670075.1/GCF_036670075.1_ASM3667007v1_genomic.fna,SUSCEPTIBLE,
GCF_047948165.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_047948165.1/GCF_047948165.1_ASM4794816v1_genomic.fna,SUSCEPTIBLE,
GCF_053101955.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_053101955.1/GCF_053101955.1_ASM5310195v1_genomic.fna,RESISTANT,mecA
GCF_018502125.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_018502125.1/GCF_018502125.1_ASM1850212v1_genomic.fna,SUSCEPTIBLE,
GCF_045791695.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_045791695.1/GCF_045791695.1_ASM4579169v1_genomic.fna,RESISTANT,mecA
GCF_037045965.2,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_037045965.2/GCF_037045965.2_BSN84_Closure_genomic.fna,SUSCEPTIBLE,
GCF_018141385.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_018141385.1/GCF_018141385.1_ASM1814138v1_genomic.fna,SUSCEPTIBLE,
GCF_041518565.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_041518565.1/GCF_041518565.1_CUBIST-41_genomic.fna,RESISTANT,mecA
GCF_038427395.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_038427395.1/GCF_038427395.1_ASM3842739v1_genomic.fna,RESISTANT,mecA
GCF_008630755.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_008630755.1/GCF_008630755.1_ASM863075v1_genomic.fna,SUSCEPTIBLE,
GCF_045789585.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_045789585.1/GCF_045789585.1_ASM4578958v1_genomic.fna,RESISTANT,mecA
GCF_022405835.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_022405835.1/GCF_022405835.1_ASM2240583v1_genomic.fna,SUSCEPTIBLE,
GCF_964057155.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_964057155.1/GCF_964057155.1_E2_22S00623-1_genomic.fna,RESISTANT,mecA
GCF_009731595.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_009731595.1/GCF_009731595.1_ASM973159v1_genomic.fna,SUSCEPTIBLE,
GCF_046530625.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_046530625.1/GCF_046530625.1_ASM4653062v1_genomic.fna,SUSCEPTIBLE,
GCF_045348345.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_045348345.1/GCF_045348345.1_CUBIST-17_genomic.fna,RESISTANT,mecA
GCF_009739825.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_009739825.1/GCF_009739825.1_ASM973982v1_genomic.fna,RESISTANT,mecA
GCF_022693325.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_022693325.1/GCF_022693325.1_ASM2269332v1_genomic.fna,RESISTANT,mecA
GCF_036492515.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_036492515.1/GCF_036492515.1_ASM3649251v1_genomic.fna,SUSCEPTIBLE,
GCF_022404755.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_022404755.1/GCF_022404755.1_ASM2240475v1_genomic.fna,SUSCEPTIBLE,
GCF_037220215.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_037220215.1/GCF_037220215.1_BSN104_genomic.fna,RESISTANT,mecA
GCF_001717665.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_001717665.1/GCF_001717665.1_ASM171766v2_genomic.fna,SUSCEPTIBLE,
GCF_047801975.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_047801975.1/GCF_047801975.1_AG21-0608_Closure_genomic.fna,RESISTANT,mecA
GCF_037039335.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_037039335.1/GCF_037039335.1_ASM3703933v1_genomic.fna,RESISTANT,mecA
GCF_026625265.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_026625265.1/GCF_026625265.1_ASM2662526v1_genomic.fna,RESISTANT,mecA
GCF_022405875.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_022405875.1/GCF_022405875.1_ASM2240587v1_genomic.fna,SUSCEPTIBLE,
GCF_057653195.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_057653195.1/GCF_057653195.1_ASM5765319v1_genomic.fna,SUSCEPTIBLE,
GCF_041519025.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_041519025.1/GCF_041519025.1_CUBIST-31_genomic.fna,RESISTANT,mecA
GCF_022693225.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_022693225.1/GCF_022693225.1_ASM2269322v1_genomic.fna,SUSCEPTIBLE,
GCF_030533955.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_030533955.1/GCF_030533955.1_ASM3053395v1_genomic.fna,SUSCEPTIBLE,
GCF_009912895.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_009912895.1/GCF_009912895.1_ASM991289v1_genomic.fna,RESISTANT,mecA
GCF_022405415.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_022405415.1/GCF_022405415.1_ASM2240541v1_genomic.fna,SUSCEPTIBLE,
GCF_037039325.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_037039325.1/GCF_037039325.1_ASM3703932v1_genomic.fna,RESISTANT,mecA
GCF_009684655.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_009684655.1/GCF_009684655.1_ASM968465v1_genomic.fna,RESISTANT,mecA
GCF_900635245.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_900635245.1/GCF_900635245.1_40415_C02_genomic.fna,RESISTANT,mecA
GCF_034033475.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_034033475.1/GCF_034033475.1_ASM3403347v1_genomic.fna,SUSCEPTIBLE,
GCF_040235345.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_040235345.1/GCF_040235345.1_MSSA-E3_genomic.fna,SUSCEPTIBLE,
GCF_003073775.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_003073775.1/GCF_003073775.1_ASM307377v1_genomic.fna,RESISTANT,mecA
GCF_022405615.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_022405615.1/GCF_022405615.1_ASM2240561v1_genomic.fna,SUSCEPTIBLE,
GCF_056820345.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_056820345.1/GCF_056820345.1_ASM5682034v1_genomic.fna,RESISTANT,mecA
GCF_017329185.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_017329185.1/GCF_017329185.1_ASM1732918v1_genomic.fna,SUSCEPTIBLE,
GCF_008370815.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_008370815.1/GCF_008370815.1_ASM837081v1_genomic.fna,RESISTANT,mecA
GCF_015999445.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_015999445.1/GCF_015999445.1_ASM1599944v1_genomic.fna,SUSCEPTIBLE,
GCF_032809245.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_032809245.1/GCF_032809245.1_ASM3280924v1_genomic.fna,RESISTANT,mecA
GCF_040931985.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_040931985.1/GCF_040931985.1_ASM4093198v1_genomic.fna,RESISTANT,mecA
GCF_055395395.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_055395395.1/GCF_055395395.1_ASM5539539v1_genomic.fna,RESISTANT,mecA
GCF_020388985.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_020388985.1/GCF_020388985.1_ASM2038898v1_genomic.fna,SUSCEPTIBLE,
GCF_009913115.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_009913115.1/GCF_009913115.1_ASM991311v1_genomic.fna,RESISTANT,mecA
GCF_024741575.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_024741575.1/GCF_024741575.1_ASM2474157v1_genomic.fna,SUSCEPTIBLE,
GCF_036867165.2,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_036867165.2/GCF_036867165.2_BSN31-2_closure_genomic.fna,RESISTANT,mecA
GCF_057653075.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_057653075.1/GCF_057653075.1_ASM5765307v1_genomic.fna,SUSCEPTIBLE,
GCF_057127025.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_057127025.1/GCF_057127025.1_ASM5712702v1_genomic.fna,RESISTANT,mecA
GCF_042078115.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_042078115.1/GCF_042078115.1_ASM4207811v1_genomic.fna,RESISTANT,mecA
GCF_009497915.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_009497915.1/GCF_009497915.1_ASM949791v1_genomic.fna,SUSCEPTIBLE,
GCF_900636695.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_900636695.1/GCF_900636695.1_43874_B01_genomic.fna,SUSCEPTIBLE,
GCF_022693185.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_022693185.1/GCF_022693185.1_ASM2269318v1_genomic.fna,RESISTANT,mecA
GCF_053102095.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_053102095.1/GCF_053102095.1_ASM5310209v1_genomic.fna,RESISTANT,mecA
GCF_017329425.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_017329425.1/GCF_017329425.1_ASM1732942v1_genomic.fna,SUSCEPTIBLE,
GCF_024220055.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_024220055.1/GCF_024220055.1_ASM2422005v1_genomic.fna,SUSCEPTIBLE,
GCF_022405895.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_022405895.1/GCF_022405895.1_ASM2240589v1_genomic.fna,RESISTANT,mecA
GCF_001717975.2,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_001717975.2/GCF_001717975.2_ASM171797v3_genomic.fna,SUSCEPTIBLE,
GCF_057076825.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_057076825.1/GCF_057076825.1_ASM5707682v1_genomic.fna,RESISTANT,mecA
GCF_009912755.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_009912755.1/GCF_009912755.1_ASM991275v1_genomic.fna,SUSCEPTIBLE,
GCF_008370795.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_008370795.1/GCF_008370795.1_ASM837079v1_genomic.fna,RESISTANT,mecA
GCF_009912555.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_009912555.1/GCF_009912555.1_ASM991255v1_genomic.fna,SUSCEPTIBLE,
GCF_009912615.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_009912615.1/GCF_009912615.1_ASM991261v1_genomic.fna,SUSCEPTIBLE,
GCF_030758815.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_030758815.1/GCF_030758815.1_ASM3075881v1_genomic.fna,RESISTANT,mecA
GCF_020389005.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_020389005.1/GCF_020389005.1_ASM2038900v1_genomic.fna,SUSCEPTIBLE,
GCF_055269035.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_055269035.1/GCF_055269035.1_ASM5526903v1_genomic.fna,SUSCEPTIBLE,
